Manual Annotation,,,,
LINK - ,https://youtu.be/U_91sJB-hwk?si=NbwetolieFEfvwz0,,,
START ,0.57,,,
END ,9.49,,,
,,,,
TagName,StartTime,EndTime,Modifiers,Down
TACKLE_DIVE,00:58.46,00:59.83,LEFT,
PASS_THROW,01:36.46,01:36.76,FORWARD,2
PASS_CATCH,01:37.06,01:37.36,ON_GROUND,2
TACKLE_BIG_HIT,01:37.43,01:38.53,RIGHT,2
PASS_THROW,01:56.79,01:57.59,FORWARD,3
PASS_CATCH,01:57.93,01:58.33,ON_GROUND,3
TACKLE_BIG_HIT,01:58.56,01:59.33,,3
PASS_THROW,02:09.13,02:09.36,FORWARD,4
PASS_CATCH,02:09.46,02:09.90,ON_GROUND,4
TACKLE_BIG_HIT,02:11.56,02:13.03,LEFT,4
PASS_THROW,02:23.03,02:23.50,FORWARD,1
PASS_CATCH,02:23.56,02:24.46,IN_AIR,1
TACKLE_DIVE,02:24.76,02:25.96,FORWARD,1
PASS_THROW,02:37.26,02:37.56,,1
PASS_CATCH,02:37.66,02:38.23,ON_GROUND,1
TACKLE_DIVE,02:39.13,02:40.09,RIGHT,1
PASS_THROW,02:51.00,02:51.40,FORWARD,2
PASS_CATCH,02:51.53,02:52.43,ON_GROUND,2
JUKE,03:08.59,03:09.23,RIGHT,
SPIN,03:09.83,03:10.56,LEFT,
PASS_THROW,03:25.13,03:25.66,FORWARD,1
PASS_CATCH,03:26.00,03:26.56,ON_GROUND,1
STIFF_ARM,03:26.80,03:27.40,LEFT,1
TACKLE_BIG_HIT,03:32.56,03:33.63,,1
TACKLE_BIG_HIT,03:37.00,03:37.96,,1
PASS_THROW,03:47.73,03:48.03,FORWARD,1
PASS_CATCH,03:48.16,03:48.66,IN_AIR,1
PASS_THROW,04:00.50,04:00.86,FORWARD,2
PASS_CATCH,04:01.03,04:01.63,IN_AIR,2
PASS_THROW,04:13.43,04:13.69,FORWARD,1
PASS_CATCH,04:13.80,04:14.26,ON_GROUND,1
JUKE,04:14.53,04:14.96,LEFT,1
TACKLE_BIG_HIT,04:15.09,04:16.16,,1
PASS_THROW,04:25.63,04:26.33,FORWARD,2
PASS_CATCH,04:26.43,04:26.93,ON_GROUND,2
TACKLE_DIVE,04:28.06,04:29.10,FORWARD,2
TACKLE_BIG_HIT,04:40.10,04:41.39,,3
PASS_THROW,05:12.16,05:12.53,FORWARD,1
PASS_CATCH,05:12.66,05:13.30,ON_GROUND,1
PASS_THROW,05:26.23,05:26.39,FORWARD,2
PASS_CATCH,05:26.53,05:27.36,ON_GROUND,2
SPIN,05:27.50,05:27.93,LEFT,2
TACKLE_DIVE,05:28.03,05:29.19,RIGHT,2
PASS_THROW,05:41.30,05:41.63,FORWARD,1
PASS_CATCH,05:41.73,05:42.06,IN_AIR,1
TACKLE_BIG_HIT,05:42.63,05:44.00,,1
PASS_THROW,05:55.19,05:55.53,FORWARD,2
PASS_CATCH,05:55.63,05:56.23,IN_AIR,2
JUKE,06:14.80,06:15.16,LEFT,
TACKLE_BIG_HIT,06:15.30,06:16.46,,
PASS_THROW,06:28.06,06:28.39,FORWARD,1
PASS_CATCH,06:28.69,06:29.80,ON_GROUND,1
TACKLE_DIVE,06:29.83,06:30.66,,1
TACKLE_BIG_HIT,06:44.96,06:45.96,,1
PASS_THROW,06:57.23,06:57.50,FORWARD,2
PASS_CATCH,06:57.69,06:58.53,ON_GROUND,2
JUKE,07:14.66,07:15.13,RIGHT,
STIFF_ARM,07:15.46,07:15.89,LEFT,
TACKLE_BIG_HIT,07:16.36,07:17.63,,
PASS_THROW,07:28.89,07:29.19,FORWARD,1
PASS_CATCH,07:29.30,07:30.13,ON_GROUND,1
TACKLE_DIVE,07:30.63,07:31.80,LEFT,1
PASS_THROW,07:45.36,07:45.73,,2
PASS_CATCH,07:45.89,07:46.46,ON_GROUND,2
TACKLE_BIG_HIT,07:46.66,07:47.60,,2
PASS_THROW,08:00.33,08:00.66,,3
PASS_CATCH,08:00.80,08:01.23,ON_GROUND,3
TACKLE_BIG_HIT,08:02.00,08:03.16,,3
JUKE,08:27.60,08:27.96,RIGHT,
TACKLE_BIG_HIT,08:28.50,08:29.53,,
PASS_THROW,08:41.36,08:41.73,FORWARD,1
PASS_CATCH,08:41.93,08:42.83,ON_GROUND,1
TACKLE_BIG_HIT,08:42.93,08:43.79,,1
TACKLE_BIG_HIT,08:55.73,08:57.10,,1
PASS_THROW,09:07.56,09:08.00,FORWARD,1
PASS_CATCH,09:08.23,09:09.16,IN_AIR,1
TACKLE_BIG_HIT,09:09.33,09:10.76,,1
JUKE,09:35.83,09:36.26,LEFT,
TACKLE_BIG_HIT,09:37.76,09:38.79,,
