start times,
LINK - ,https://youtu.be/WSFIpXwWAyg?si=XtCI_H5fB9kjFAWk
START ,0.17
END ,18.4
,
Timestamps,
0:35,
0:49,
1:02,
1:17,
1:55,
2:09,
2:20,
2:31,
2:45,
2:54,
3:07,
3:31,
3:42,
3:52,
4:02,
4:13,
4:47,
5:09,
5:23,
5:35,
5:50,
6:02,
6:17,
6:28,
6:42,
6:55,
7:10,
7:21,
7:33,
7:46,
7:55,
7:56,
8:06,
8:21,
8:35,
8:44,
8:57,
9:10,
9:22,
9:35,
10:01,
10:12,
10:25,
10:35,
10:47,
11:02,
11:21,
11:33,
11:46,
11:57,
12:06,
12:19,
12:29,
12:42,
12:54,
13:07,
13:19,
13:34,
13:55,
14:08,
14:22,
14:33,
14:45,
14:56,
15:06,
15:19,
15:30,
15:41,
15:55,
16:06,
16:19,
16:29,
16:40,
16:54,
17:06,
17:19,
17:32,
17:42,
17:53,
18:04,
18:16,
18:28,
